observation_date,RBAUBIS
2005-01-01,103.03
2005-02-01,104.92
2005-03-01,104.90
2005-04-01,104.14
2005-05-01,103.78
2005-06-01,105.95
2005-07-01,105.23
2005-08-01,105.22
2005-09-01,105.59
2005-10-01,105.01
2005-11-01,103.75
2005-12-01,104.28
2006-01-01,103.72
2006-02-01,103.29
2006-03-01,101.63
2006-04-01,102.20
2006-05-01,104.34
2006-06-01,102.63
2006-07-01,104.54
2006-08-01,105.48
2006-09-01,104.59
2006-10-01,104.64
2006-11-01,105.75
2006-12-01,105.74
2007-01-01,106.02
2007-02-01,105.35
2007-03-01,106.01
2007-04-01,109.76
2007-05-01,109.56
2007-06-01,112.19
2007-07-01,113.94
2007-08-01,109.11
2007-09-01,110.22
2007-10-01,115.48
2007-11-01,113.39
2007-12-01,110.79
2008-01-01,110.93
2008-02-01,113.85
2008-03-01,113.23
2008-04-01,113.34
2008-05-01,116.64
2008-06-01,117.22
2008-07-01,118.02
2008-08-01,111.16
2008-09-01,104.88
2008-10-01,90.82
2008-11-01,89.15
2008-12-01,89.70
2009-01-01,90.78
2009-02-01,88.90
2009-03-01,91.60
2009-04-01,96.65
2009-05-01,101.55
2009-06-01,105.57
2009-07-01,105.91
2009-08-01,109.09
2009-09-01,111.15
2009-10-01,115.69
2009-11-01,116.78
2009-12-01,115.54
2010-01-01,117.57
2010-02-01,115.42
2010-03-01,118.53
2010-04-01,120.36
2010-05-01,115.34
2010-06-01,114.31
2010-07-01,115.34
2010-08-01,117.26
2010-09-01,120.60
2010-10-01,122.63
2010-11-01,123.81
2010-12-01,125.72
2011-01-01,125.33
2011-02-01,125.98
2011-03-01,125.33
2011-04-01,129.29
2011-05-01,130.23
2011-06-01,129.30
2011-07-01,130.87
2011-08-01,126.90
2011-09-01,125.57
2011-10-01,124.88
2011-11-01,125.09
2011-12-01,126.29
2012-01-01,129.17
2012-02-01,131.38
2012-03-01,129.28
2012-04-01,126.84
2012-05-01,124.05
2012-06-01,126.23
2012-07-01,131.23
2012-08-01,132.67
2012-09-01,129.63
2012-10-01,127.79
2012-11-01,129.65
2012-12-01,129.81
2013-01-01,130.52
2013-02-01,128.42
2013-03-01,130.04
2013-04-01,130.46
2013-05-01,124.95
2013-06-01,119.60
2013-07-01,117.31
2013-08-01,115.45
2013-09-01,118.33
2013-10-01,120.19
2013-11-01,118.79
2013-12-01,114.67
2014-01-01,113.55
2014-02-01,114.69
2014-03-01,116.00
2014-04-01,118.85
2014-05-01,118.63
2014-06-01,119.82
2014-07-01,120.04
2014-08-01,119.65
2014-09-01,117.73
2014-10-01,115.22
2014-11-01,115.20
2014-12-01,111.31
2015-01-01,111.01
2015-02-01,107.45
2015-03-01,108.08
2015-04-01,107.50
2015-05-01,109.39
2015-06-01,107.69
2015-07-01,104.43
2015-08-01,104.11
2015-09-01,101.33
2015-10-01,102.97
2015-11-01,103.81
2015-12-01,105.31
2016-01-01,103.02
2016-02-01,102.94
2016-03-01,107.00
2016-04-01,108.03
2016-05-01,103.98
2016-06-01,105.37
2016-07-01,108.13
2016-08-01,108.79
2016-09-01,108.34
2016-10-01,110.03
2016-11-01,110.79
2016-12-01,109.72
2017-01-01,110.83
2017-02-01,112.95
2017-03-01,112.39
2017-04-01,110.37
2017-05-01,108.30
2017-06-01,109.20
2017-07-01,112.12
2017-08-01,112.45
2017-09-01,112.28
2017-10-01,110.85
2017-11-01,108.57
2017-12-01,108.22
2018-01-01,110.14
2018-02-01,107.43
2018-03-01,106.17
2018-04-01,105.33
2018-05-01,105.05
2018-06-01,105.81
2018-07-01,106.23
2018-08-01,106.04
2018-09-01,104.09
2018-10-01,103.58
2018-11-01,106.24
2018-12-01,104.76
2019-01-01,103.37
2019-02-01,102.50
2019-03-01,101.78
2019-04-01,102.51
2019-05-01,101.19
2019-06-01,101.05
2019-07-01,101.57
2019-08-01,99.72
2019-09-01,100.41
2019-10-01,99.65
2019-11-01,99.96
2019-12-01,100.75
2020-01-01,100.08
2020-02-01,97.85
2020-03-01,91.72
2020-04-01,93.44
2020-05-01,96.17
2020-06-01,100.28
2020-07-01,101.93
2020-08-01,103.74
2020-09-01,104.09
2020-10-01,102.20
2020-11-01,103.29
2020-12-01,105.21
2021-01-01,107.17
2021-02-01,107.51
2021-03-01,108.41
2021-04-01,108.44
2021-05-01,108.41
2021-06-01,107.08
2021-07-01,105.21
2021-08-01,103.74
2021-09-01,103.80
2021-10-01,105.36
2021-11-01,104.53
2021-12-01,103.40
2022-01-01,103.82
2022-02-01,103.40
2022-03-01,107.38
2022-04-01,109.04
2022-05-01,107.03
2022-06-01,107.06
2022-07-01,106.51
2022-08-01,108.83
2022-09-01,107.60
2022-10-01,104.27
2022-11-01,106.82
2022-12-01,106.72
2023-01-01,107.75
2023-02-01,108.07
2023-03-01,105.23
2023-04-01,104.74
2023-05-01,105.31
2023-06-01,107.68
2023-07-01,107.71
2023-08-01,105.04
2023-09-01,105.28
2023-10-01,104.85
2023-11-01,106.30
2023-12-01,108.23
2024-01-01,108.25
2024-02-01,106.71
2024-03-01,107.53
2024-04-01,108.27
2024-05-01,110.01
2024-06-01,110.82
2024-07-01,110.84
2024-08-01,108.07
2024-09-01,108.65
2024-10-01,108.76
2024-11-01,108.31
2024-12-01,105.95
