observation_date,RBCABIS
2005-01-01,110.79
2005-02-01,109.22
2005-03-01,111.07
2005-04-01,109.48
2005-05-01,108.02
2005-06-01,110.11
2005-07-01,111.91
2005-08-01,112.98
2005-09-01,115.52
2005-10-01,115.46
2005-11-01,115.68
2005-12-01,117.65
2006-01-01,117.27
2006-02-01,117.89
2006-03-01,117.29
2006-04-01,118.10
2006-05-01,121.02
2006-06-01,120.89
2006-07-01,119.08
2006-08-01,119.65
2006-09-01,119.71
2006-10-01,118.62
2006-11-01,117.55
2006-12-01,115.29
2007-01-01,113.02
2007-02-01,113.61
2007-03-01,113.80
2007-04-01,116.66
2007-05-01,120.74
2007-06-01,123.78
2007-07-01,124.80
2007-08-01,123.68
2007-09-01,126.73
2007-10-01,131.86
2007-11-01,132.20
2007-12-01,127.20
2008-01-01,125.04
2008-02-01,125.61
2008-03-01,124.01
2008-04-01,122.26
2008-05-01,124.90
2008-06-01,122.57
2008-07-01,122.39
2008-08-01,118.94
2008-09-01,119.73
2008-10-01,109.53
2008-11-01,107.93
2008-12-01,105.86
2009-01-01,106.35
2009-02-01,106.03
2009-03-01,104.80
2009-04-01,106.54
2009-05-01,113.01
2009-06-01,115.03
2009-07-01,114.70
2009-08-01,117.63
2009-09-01,117.75
2009-10-01,120.01
2009-11-01,119.51
2009-12-01,120.02
2010-01-01,121.49
2010-02-01,120.90
2010-03-01,124.22
2010-04-01,126.66
2010-05-01,124.09
2010-06-01,124.75
2010-07-01,123.66
2010-08-01,123.14
2010-09-01,123.31
2010-10-01,123.82
2010-11-01,124.58
2010-12-01,125.32
2011-01-01,126.34
2011-02-01,126.26
2011-03-01,127.71
2011-04-01,129.11
2011-05-01,128.10
2011-06-01,125.97
2011-07-01,128.69
2011-08-01,125.39
2011-09-01,124.21
2011-10-01,122.61
2011-11-01,122.42
2011-12-01,122.51
2012-01-01,123.61
2012-02-01,124.68
2012-03-01,125.25
2012-04-01,125.72
2012-05-01,124.49
2012-06-01,122.74
2012-07-01,124.31
2012-08-01,126.25
2012-09-01,126.88
2012-10-01,125.72
2012-11-01,124.72
2012-12-01,124.54
2013-01-01,124.01
2013-02-01,122.76
2013-03-01,121.34
2013-04-01,121.72
2013-05-01,121.83
2013-06-01,120.66
2013-07-01,119.78
2013-08-01,119.42
2013-09-01,119.86
2013-10-01,118.98
2013-11-01,118.03
2013-12-01,115.82
2014-01-01,113.13
2014-02-01,112.30
2014-03-01,111.87
2014-04-01,113.05
2014-05-01,114.33
2014-06-01,115.01
2014-07-01,115.94
2014-08-01,114.19
2014-09-01,113.95
2014-10-01,112.53
2014-11-01,112.01
2014-12-01,110.52
2015-01-01,106.77
2015-02-01,103.81
2015-03-01,104.11
2015-04-01,105.70
2015-05-01,107.25
2015-06-01,105.88
2015-07-01,102.43
2015-08-01,100.76
2015-09-01,99.92
2015-10-01,101.16
2015-11-01,100.38
2015-12-01,97.09
2016-01-01,94.61
2016-02-01,96.93
2016-03-01,100.79
2016-04-01,103.34
2016-05-01,103.20
2016-06-01,103.76
2016-07-01,102.87
2016-08-01,102.59
2016-09-01,101.80
2016-10-01,101.19
2016-11-01,100.33
2016-12-01,101.56
2017-01-01,103.00
2017-02-01,103.17
2017-03-01,100.73
2017-04-01,100.24
2017-05-01,98.58
2017-06-01,100.13
2017-07-01,104.33
2017-08-01,104.38
2017-09-01,106.52
2017-10-01,104.68
2017-11-01,103.56
2017-12-01,102.85
2018-01-01,104.89
2018-02-01,103.26
2018-03-01,100.71
2018-04-01,102.30
2018-05-01,102.28
2018-06-01,100.92
2018-07-01,101.62
2018-08-01,102.58
2018-09-01,101.96
2018-10-01,102.74
2018-11-01,101.45
2018-12-01,99.55
2019-01-01,99.90
2019-02-01,100.91
2019-03-01,100.07
2019-04-01,100.06
2019-05-01,100.20
2019-06-01,101.11
2019-07-01,102.93
2019-08-01,102.10
2019-09-01,101.82
2019-10-01,102.00
2019-11-01,101.26
2019-12-01,101.53
2020-01-01,101.95
2020-02-01,101.03
2020-03-01,97.05
2020-04-01,96.94
2020-05-01,97.80
2020-06-01,100.28
2020-07-01,99.83
2020-08-01,100.83
2020-09-01,100.44
2020-10-01,100.58
2020-11-01,101.25
2020-12-01,102.01
2021-01-01,102.66
2021-02-01,103.08
2021-03-01,104.74
2021-04-01,105.14
2021-05-01,107.90
2021-06-01,106.93
2021-07-01,105.03
2021-08-01,104.51
2021-09-01,103.79
2021-10-01,105.98
2021-11-01,105.01
2021-12-01,102.89
2022-01-01,104.39
2022-02-01,103.68
2022-03-01,105.09
2022-04-01,105.92
2022-05-01,105.85
2022-06-01,105.93
2022-07-01,105.72
2022-08-01,105.55
2022-09-01,103.21
2022-10-01,101.14
2022-11-01,102.38
2022-12-01,99.70
2023-01-01,99.73
2023-02-01,99.82
2023-03-01,98.44
2023-04-01,99.75
2023-05-01,100.09
2023-06-01,101.92
2023-07-01,102.53
2023-08-01,101.05
2023-09-01,100.86
2023-10-01,100.16
2023-11-01,99.56
2023-12-01,100.85
2024-01-01,100.68
2024-02-01,100.03
2024-03-01,99.79
2024-04-01,99.58
2024-05-01,99.84
2024-06-01,100.00
2024-07-01,100.05
2024-08-01,99.56
2024-09-01,99.64
2024-10-01,98.89
2024-11-01,98.33
2024-12-01,96.34
