observation_date,RBJPBIS
2005-01-01,137.35
2005-02-01,133.69
2005-03-01,132.81
2005-04-01,130.80
2005-05-01,132.13
2005-06-01,130.73
2005-07-01,127.03
2005-08-01,126.92
2005-09-01,126.31
2005-10-01,122.58
2005-11-01,119.19
2005-12-01,118.47
2006-01-01,119.51
2006-02-01,116.37
2006-03-01,117.05
2006-04-01,115.84
2006-05-01,119.90
2006-06-01,117.89
2006-07-01,116.13
2006-08-01,116.00
2006-09-01,114.84
2006-10-01,113.29
2006-11-01,112.69
2006-12-01,111.19
2007-01-01,108.23
2007-02-01,106.55
2007-03-01,109.25
2007-04-01,106.58
2007-05-01,104.48
2007-06-01,102.39
2007-07-01,101.66
2007-08-01,106.91
2007-09-01,107.28
2007-10-01,104.62
2007-11-01,107.50
2007-12-01,106.21
2008-01-01,109.13
2008-02-01,107.79
2008-03-01,113.16
2008-04-01,109.93
2008-05-01,109.19
2008-06-01,106.31
2008-07-01,105.42
2008-08-01,105.53
2008-09-01,110.52
2008-10-01,122.98
2008-11-01,129.92
2008-12-01,137.01
2009-01-01,137.52
2009-02-01,136.06
2009-03-01,128.82
2009-04-01,125.29
2009-05-01,124.95
2009-06-01,123.55
2009-07-01,125.77
2009-08-01,124.36
2009-09-01,127.71
2009-10-01,127.10
2009-11-01,127.83
2009-12-01,126.84
2010-01-01,124.50
2010-02-01,126.82
2010-03-01,125.81
2010-04-01,121.11
2010-05-01,125.49
2010-06-01,128.28
2010-07-01,130.54
2010-08-01,132.59
2010-09-01,132.65
2010-10-01,133.64
2010-11-01,131.82
2010-12-01,130.63
2011-01-01,129.84
2011-02-01,128.13
2011-03-01,128.53
2011-04-01,123.86
2011-05-01,126.80
2011-06-01,127.55
2011-07-01,128.54
2011-08-01,132.20
2011-09-01,134.77
2011-10-01,135.86
2011-11-01,133.75
2011-12-01,133.98
2012-01-01,134.95
2012-02-01,130.60
2012-03-01,124.53
2012-04-01,126.39
2012-05-01,130.18
2012-06-01,131.89
2012-07-01,131.84
2012-08-01,131.32
2012-09-01,130.31
2012-10-01,128.09
2012-11-01,124.56
2012-12-01,119.56
2013-01-01,111.68
2013-02-01,106.05
2013-03-01,105.13
2013-04-01,101.82
2013-05-01,98.92
2013-06-01,103.09
2013-07-01,101.17
2013-08-01,103.03
2013-09-01,101.22
2013-10-01,101.78
2013-11-01,99.96
2013-12-01,96.51
2014-01-01,96.12
2014-02-01,97.68
2014-03-01,97.53
2014-04-01,99.24
2014-05-01,100.10
2014-06-01,99.83
2014-07-01,99.99
2014-08-01,99.18
2014-09-01,95.94
2014-10-01,95.81
2014-11-01,89.64
2014-12-01,88.48
2015-01-01,90.59
2015-02-01,90.25
2015-03-01,90.08
2015-04-01,90.45
2015-05-01,89.14
2015-06-01,87.05
2015-07-01,87.96
2015-08-01,89.50
2015-09-01,92.40
2015-10-01,91.86
2015-11-01,90.65
2015-12-01,91.81
2016-01-01,95.47
2016-02-01,97.04
2016-03-01,97.57
2016-04-01,99.56
2016-05-01,101.09
2016-06-01,104.48
2016-07-01,106.10
2016-08-01,108.28
2016-09-01,107.59
2016-10-01,106.96
2016-11-01,104.06
2016-12-01,97.80
2017-01-01,97.79
2017-02-01,98.46
2017-03-01,98.36
2017-04-01,100.78
2017-05-01,98.38
2017-06-01,98.62
2017-07-01,96.40
2017-08-01,97.59
2017-09-01,95.93
2017-10-01,94.74
2017-11-01,94.94
2017-12-01,94.36
2018-01-01,94.12
2018-02-01,95.30
2018-03-01,97.00
2018-04-01,95.54
2018-05-01,95.37
2018-06-01,95.93
2018-07-01,96.18
2018-08-01,97.85
2018-09-01,96.78
2018-10-01,96.78
2018-11-01,96.61
2018-12-01,97.09
2019-01-01,99.19
2019-02-01,96.92
2019-03-01,96.21
2019-04-01,96.00
2019-05-01,98.51
2019-06-01,99.79
2019-07-01,99.33
2019-08-01,102.87
2019-09-01,101.64
2019-10-01,100.47
2019-11-01,99.19
2019-12-01,98.55
2020-01-01,97.49
2020-02-01,97.35
2020-03-01,101.60
2020-04-01,102.99
2020-05-01,103.42
2020-06-01,100.94
2020-07-01,100.76
2020-08-01,100.24
2020-09-01,99.75
2020-10-01,99.35
2020-11-01,98.69
2020-12-01,97.44
2021-01-01,97.05
2021-02-01,95.02
2021-03-01,93.11
2021-04-01,91.83
2021-05-01,91.04
2021-06-01,90.25
2021-07-01,91.11
2021-08-01,91.44
2021-09-01,91.15
2021-10-01,88.25
2021-11-01,87.59
2021-12-01,87.75
2022-01-01,86.66
2022-02-01,85.89
2022-03-01,83.96
2022-04-01,79.30
2022-05-01,79.44
2022-06-01,75.97
2022-07-01,75.70
2022-08-01,77.01
2022-09-01,74.55
2022-10-01,73.71
2022-11-01,75.20
2022-12-01,77.67
2023-01-01,78.95
2023-02-01,77.16
2023-03-01,77.49
2023-04-01,77.54
2023-05-01,76.04
2023-06-01,74.34
2023-07-01,74.36
2023-08-01,73.08
2023-09-01,72.33
2023-10-01,72.50
2023-11-01,71.43
2023-12-01,73.40
2024-01-01,72.57
2024-02-01,70.72
2024-03-01,70.80
2024-04-01,69.87
2024-05-01,68.90
2024-06-01,68.37
2024-07-01,68.27
2024-08-01,72.88
2024-09-01,73.49
2024-10-01,71.24
2024-11-01,71.11
2024-12-01,71.84
