observation_date,RBUSBIS
2005-01-01,91.59
2005-02-01,91.77
2005-03-01,91.69
2005-04-01,92.95
2005-05-01,93.19
2005-06-01,94.30
2005-07-01,94.92
2005-08-01,93.94
2005-09-01,94.51
2005-10-01,95.61
2005-11-01,95.56
2005-12-01,94.39
2006-01-01,93.51
2006-02-01,93.66
2006-03-01,94.23
2006-04-01,93.95
2006-05-01,92.29
2006-06-01,93.74
2006-07-01,93.70
2006-08-01,93.02
2006-09-01,92.64
2006-10-01,92.44
2006-11-01,91.32
2006-12-01,90.24
2007-01-01,91.45
2007-02-01,91.23
2007-03-01,91.31
2007-04-01,90.38
2007-05-01,90.00
2007-06-01,89.90
2007-07-01,88.51
2007-08-01,88.48
2007-09-01,87.21
2007-10-01,85.32
2007-11-01,84.04
2007-12-01,84.43
2008-01-01,83.90
2008-02-01,82.76
2008-03-01,81.49
2008-04-01,81.27
2008-05-01,81.89
2008-06-01,82.41
2008-07-01,81.92
2008-08-01,83.57
2008-09-01,85.33
2008-10-01,90.14
2008-11-01,91.08
2008-12-01,89.56
2009-01-01,90.47
2009-02-01,92.93
2009-03-01,93.47
2009-04-01,91.27
2009-05-01,88.70
2009-06-01,88.36
2009-07-01,87.97
2009-08-01,86.75
2009-09-01,85.99
2009-10-01,84.76
2009-11-01,84.17
2009-12-01,84.11
2010-01-01,84.38
2010-02-01,85.16
2010-03-01,84.68
2010-04-01,84.22
2010-05-01,86.74
2010-06-01,87.36
2010-07-01,85.85
2010-08-01,84.97
2010-09-01,83.95
2010-10-01,81.26
2010-11-01,81.21
2010-12-01,81.71
2011-01-01,80.91
2011-02-01,80.24
2011-03-01,79.88
2011-04-01,78.83
2011-05-01,78.99
2011-06-01,78.96
2011-07-01,78.44
2011-08-01,78.86
2011-09-01,80.98
2011-10-01,81.47
2011-11-01,81.79
2011-12-01,82.10
2012-01-01,81.82
2012-02-01,80.50
2012-03-01,81.22
2012-04-01,81.56
2012-05-01,83.02
2012-06-01,84.19
2012-07-01,83.64
2012-08-01,83.06
2012-09-01,81.80
2012-10-01,81.32
2012-11-01,81.48
2012-12-01,80.51
2013-01-01,80.70
2013-02-01,81.38
2013-03-01,82.27
2013-04-01,81.79
2013-05-01,82.38
2013-06-01,83.07
2013-07-01,83.52
2013-08-01,83.26
2013-09-01,82.86
2013-10-01,81.70
2013-11-01,82.11
2013-12-01,82.06
2014-01-01,82.96
2014-02-01,83.04
2014-03-01,83.34
2014-04-01,83.18
2014-05-01,83.10
2014-06-01,83.39
2014-07-01,83.15
2014-08-01,83.61
2014-09-01,84.63
2014-10-01,85.41
2014-11-01,86.34
2014-12-01,87.77
2015-01-01,89.46
2015-02-01,90.56
2015-03-01,92.44
2015-04-01,91.93
2015-05-01,91.52
2015-06-01,92.40
2015-07-01,93.87
2015-08-01,95.19
2015-09-01,95.56
2015-10-01,94.63
2015-11-01,95.95
2015-12-01,96.42
2016-01-01,98.74
2016-02-01,97.35
2016-03-01,95.73
2016-04-01,94.49
2016-05-01,95.82
2016-06-01,96.44
2016-07-01,96.85
2016-08-01,95.99
2016-09-01,96.61
2016-10-01,97.39
2016-11-01,99.66
2016-12-01,101.16
2017-01-01,101.35
2017-02-01,99.84
2017-03-01,99.29
2017-04-01,98.55
2017-05-01,98.14
2017-06-01,96.85
2017-07-01,95.47
2017-08-01,94.27
2017-09-01,93.58
2017-10-01,95.03
2017-11-01,95.02
2017-12-01,94.38
2018-01-01,92.70
2018-02-01,91.69
2018-03-01,92.17
2018-04-01,92.43
2018-05-01,95.30
2018-06-01,96.91
2018-07-01,97.16
2018-08-01,97.63
2018-09-01,97.62
2018-10-01,98.16
2018-11-01,99.04
2018-12-01,98.55
2019-01-01,97.39
2019-02-01,97.11
2019-03-01,97.69
2019-04-01,98.02
2019-05-01,99.12
2019-06-01,98.75
2019-07-01,98.38
2019-08-01,99.98
2019-09-01,100.11
2019-10-01,99.42
2019-11-01,98.89
2019-12-01,98.12
2020-01-01,97.65
2020-02-01,98.76
2020-03-01,102.42
2020-04-01,104.41
2020-05-01,103.91
2020-06-01,101.77
2020-07-01,101.24
2020-08-01,99.94
2020-09-01,99.25
2020-10-01,98.56
2020-11-01,97.02
2020-12-01,95.06
2021-01-01,94.62
2021-02-01,94.99
2021-03-01,96.76
2021-04-01,96.82
2021-05-01,96.22
2021-06-01,97.19
2021-07-01,98.56
2021-08-01,98.78
2021-09-01,98.68
2021-10-01,99.50
2021-11-01,100.31
2021-12-01,101.02
2022-01-01,100.89
2022-02-01,100.82
2022-03-01,102.44
2022-04-01,103.16
2022-05-01,106.18
2022-06-01,107.42
2022-07-01,109.20
2022-08-01,108.69
2022-09-01,111.26
2022-10-01,112.99
2022-11-01,110.18
2022-12-01,107.44
2023-01-01,105.69
2023-02-01,106.20
2023-03-01,106.83
2023-04-01,105.96
2023-05-01,106.76
2023-06-01,107.25
2023-07-01,106.24
2023-08-01,107.71
2023-09-01,109.13
2023-10-01,110.46
2023-11-01,108.43
2023-12-01,106.66
2024-01-01,107.42
2024-02-01,108.05
2024-03-01,108.39
2024-04-01,109.69
2024-05-01,109.53
2024-06-01,111.03
2024-07-01,110.39
2024-08-01,109.33
2024-09-01,108.78
2024-10-01,110.01
2024-11-01,112.51
2024-12-01,113.44
