observation_date,TWEXO
2006-01-04,137.1400
2006-01-11,136.1754
2006-01-18,136.0704
2006-01-25,135.7696
2006-02-01,135.2794
2006-02-08,135.4693
2006-02-15,135.3535
2006-02-22,135.2273
2006-03-01,135.0683
2006-03-08,135.5347
2006-03-15,135.8148
2006-03-22,135.5826
2006-03-29,136.2520
2006-04-05,135.8150
2006-04-12,135.9262
2006-04-19,135.8317
2006-04-26,135.5185
2006-05-03,135.0350
2006-05-10,134.3477
2006-05-17,135.0841
2006-05-24,136.4578
2006-05-31,136.5591
2006-06-07,136.7390
2006-06-14,137.4463
2006-06-21,137.3051
2006-06-28,137.4030
2006-07-05,136.3855
2006-07-12,135.6875
2006-07-19,136.1129
2006-07-26,135.7318
2006-08-02,135.5459
2006-08-09,135.4516
2006-08-16,135.1632
2006-08-23,134.9195
2006-08-30,135.4093
2006-09-06,135.0693
2006-09-13,135.4645
2006-09-20,135.1928
2006-09-27,135.3047
2006-10-04,135.1343
2006-10-11,135.2501
2006-10-18,134.7157
2006-10-25,134.5003
2006-11-01,133.8471
2006-11-08,133.8358
2006-11-15,133.8837
2006-11-22,134.1304
2006-11-29,133.9939
2006-12-06,133.2098
2006-12-13,132.8057
2006-12-20,132.8083
2006-12-27,132.9791
2007-01-03,132.6351
2007-01-10,133.2271
2007-01-17,133.1903
2007-01-24,132.8694
2007-01-31,133.1298
2007-02-07,132.6731
2007-02-14,132.6108
2007-02-21,132.4102
2007-02-28,132.7182
2007-03-07,133.0788
2007-03-14,132.8970
2007-03-21,132.6580
2007-03-28,132.0846
2007-04-04,131.9783
2007-04-11,131.6843
2007-04-18,131.5054
2007-04-25,131.2821
2007-05-02,131.1466
2007-05-09,130.6699
2007-05-16,130.3314
2007-05-23,130.0530
2007-05-30,129.9608
2007-06-06,129.8026
2007-06-13,130.6034
2007-06-20,129.9075
2007-06-27,130.0394
2007-07-04,129.5702
2007-07-11,129.3149
2007-07-18,128.8668
2007-07-25,128.6489
2007-08-01,129.5530
2007-08-08,129.5746
2007-08-15,130.3014
2007-08-22,131.4293
2007-08-29,130.7549
2007-09-05,130.5599
2007-09-12,130.3777
2007-09-19,129.8030
2007-09-26,128.8427
2007-10-03,128.3776
2007-10-10,128.0204
2007-10-17,127.8567
2007-10-24,127.9171
2007-10-31,127.1437
2007-11-07,126.7842
2007-11-14,126.9698
2007-11-21,127.4668
2007-11-28,127.5168
2007-12-05,127.0048
2007-12-12,126.5813
2007-12-19,126.9513
2007-12-26,126.7759
2008-01-02,126.3521
2008-01-09,126.0006
2008-01-16,125.6634
2008-01-23,126.0698
2008-01-30,125.4104
2008-02-06,124.8802
2008-02-13,124.9397
2008-02-20,124.6531
2008-02-27,124.0914
2008-03-05,123.4552
2008-03-12,123.7287
2008-03-19,123.6743
2008-03-26,123.4343
2008-04-02,122.9701
2008-04-09,122.6905
2008-04-16,122.2712
2008-04-23,122.2119
2008-04-30,122.4810
2008-05-07,122.6265
2008-05-14,123.3708
2008-05-21,122.9181
2008-05-28,122.6125
2008-06-04,122.2198
2008-06-11,122.4722
2008-06-18,122.3011
2008-06-25,122.0160
2008-07-02,122.1988
2008-07-09,121.9581
2008-07-16,121.3733
2008-07-23,121.0339
2008-07-30,120.8391
2008-08-06,121.0503
2008-08-13,122.2232
2008-08-20,122.8446
2008-08-27,122.7841
2008-09-03,123.8952
2008-09-10,125.1890
2008-09-17,126.1496
2008-09-24,126.0621
2008-10-01,127.0744
2008-10-08,131.3341
2008-10-15,133.6905
2008-10-22,135.3547
2008-10-29,137.4690
2008-11-05,134.2778
2008-11-12,135.3339
2008-11-19,137.4189
2008-11-26,139.0284
2008-12-03,138.9891
2008-12-10,139.3779
2008-12-17,136.7365
2008-12-24,135.9441
2008-12-31,136.6190
2009-01-07,136.6399
2009-01-14,137.9522
2009-01-21,138.9823
2009-01-28,139.3748
2009-02-04,140.4939
2009-02-11,140.1384
2009-02-18,141.4377
2009-02-25,142.9930
2009-03-04,144.4432
2009-03-11,144.3140
2009-03-18,141.4690
2009-03-25,139.8832
2009-04-01,140.1774
2009-04-08,138.1828
2009-04-15,137.0900
2009-04-22,137.2548
2009-04-29,137.9877
2009-05-06,136.5746
2009-05-13,135.2655
2009-05-20,135.0710
2009-05-27,134.6588
2009-06-03,134.3670
2009-06-10,134.9151
2009-06-17,134.9984
2009-06-24,135.1738
2009-07-01,134.7467
2009-07-08,135.0618
2009-07-15,136.1548
2009-07-22,134.6748
2009-07-29,134.1395
2009-08-05,133.6610
2009-08-12,133.4932
2009-08-19,133.6990
2009-08-26,133.5591
2009-09-02,134.7633
2009-09-09,134.3871
2009-09-16,133.7395
2009-09-23,133.1819
2009-09-30,133.3884
2009-10-07,133.1547
2009-10-14,131.8679
2009-10-21,131.4787
2009-10-28,132.0254
2009-11-04,132.3645
2009-11-11,132.0895
2009-11-18,131.3456
2009-11-25,131.2917
2009-12-02,131.0963
2009-12-09,130.8850
2009-12-16,131.2378
2009-12-23,131.8725
2009-12-30,131.7518
2010-01-06,130.9848
2010-01-13,130.4502
2010-01-20,130.9048
