date,dexalus,dexcaus,dexjpus,dexszus,dexukus
2005-01-03,1.2836970474967908,1.2108,102.83,1.1466,0.524714030853185
2005-01-04,1.3041210224308815,1.2248,104.27,1.1674,0.5309546564723373
2005-01-05,1.3024225058609011,1.2236,103.95,1.1673,0.5298013245033113
2005-01-06,1.3137151865475565,1.2371,104.87,1.1733,0.5333048904058451
2005-01-07,1.3192612137203166,1.2333,104.93,1.1859,0.5347021708908138
2005-01-10,1.3164823591363874,1.2194,104.32,1.1792,0.5333048904058451
2005-01-11,1.308557969118032,1.2142,103.42,1.1758,0.5320280910832093
2005-01-12,1.3020833333333333,1.1982,102.26,1.1649,0.5282062117050497
2005-01-13,1.303780964797914,1.2005,102.55,1.1726,0.5310110450297366
2005-01-14,1.3182177695755337,1.2188,102.5,1.1821,0.5349023803155925
2005-01-17,,,,,
2005-01-18,1.3196093956188968,1.2217,102.36,1.1839,0.5349596105494036
2005-01-19,1.3147515119642386,1.2268,102.52,1.1833,0.5335609860207021
2005-01-20,1.3137151865475565,1.2334,103.31,1.1904,0.5341880341880342
2005-01-21,1.2966804979253113,1.2211,102.85,1.1853,0.5336179295624333
2005-01-24,1.3003901170351104,1.2258,102.67,1.1856,0.5325380764724678
2005-01-25,1.3071895424836601,1.2381,104.16,1.196,0.5362792942564487
2005-01-26,1.2901561088891755,1.2307,102.9,1.1828,0.5309828492539691
2005-01-27,1.289324394017535,1.2366,103.15,1.1859,0.5300540655146825
2005-01-28,1.2901561088891755,1.2422,103.45,1.1876,0.5305039787798409
2005-01-31,1.2888258796236627,1.2396,103.55,1.1877,0.5305039787798409
2005-02-01,1.2948336138806165,1.2405,103.93,1.1937,0.5321413367390379
2005-02-02,1.2924906294429364,1.2408,104.05,1.1949,0.5311802825879103
2005-02-03,1.2981955082435415,1.2424,104.55,1.2029,0.5317734645041212
2005-02-04,1.2944983818770228,1.2495,103.7,1.2059,0.5305039787798409
2005-02-07,1.2965123816932451,1.2562,104.68,1.2222,0.5374321491911646
2005-02-08,1.3039509714434736,1.2476,105.65,1.2203,0.5385029617662898
